"","c.0..penalty.","lambda.low.est","lambda.high.est","gamma.low.est","gamma.high.est","P.11.est","P.12.est","P.21.est","P.22.est","MSPE.est","accept"
"Truth",0,0.01,0.12,0.005,0.005,0.995,0.005,0.005,0.995,0,5000
"Model 1",1e-09,0.00834609006295538,0.120243664418072,0.000868663483654225,0.000881133722960416,0.999131894136851,0.000868105863148857,0.000880510715857494,0.999119489284143,0.0522657783190001,2667
"Model 2",0.000111112,0.000501331242575086,0.105539300650111,0.359174600817989,0.36494906226011,0.70154031308844,0.29845968691156,0.302742137003096,0.697257862996904,0.0531463862046275,1521
"Model 3",0.000222223,0.000695594130495685,0.10727603342909,0.422063203860711,0.435416703993773,0.661876455861505,0.338123544138495,0.348032134371146,0.651967865628854,0.0534201473582663,1591
"Model 4",0.000333334,0.000600626008078398,0.107416223507457,0.458415292344502,0.47364406590795,0.639719903883202,0.360280096116798,0.371049537763536,0.628950462236464,0.0535992456602157,1666
"Model 5",0.000444445,0.000667778132085842,0.106991765041794,0.486726985378944,0.50258552967729,0.622593668075169,0.377406331924831,0.388300425225311,0.611699574774689,0.0537698996788596,1673
"Model 6",0.000555556,0.000601166765379986,0.105282921698686,0.514657853108013,0.522485469164318,0.604860893564612,0.395139106435388,0.400063671898235,0.599936328101765,0.0539468147293189,1711
"Model 7",0.000666667,0.000552655079580753,0.10517615067234,0.528280104357557,0.535179530713352,0.597032316821467,0.402967683178533,0.407560399698801,0.592439600301199,0.0540022394455384,1690
"Model 8",0.000777778,0.000682437578310309,0.105687660479455,0.532312945841329,0.543811390242693,0.595789107735905,0.404210892264095,0.411202392613217,0.588797607386783,0.0540477196274016,1701
"Model 9",0.000888889,0.000769584739239391,0.108560755247802,0.53785785508485,0.559216198649465,0.593448760432785,0.406551239567215,0.421495199343064,0.578504800656936,0.0539863771060991,1684
"Model 10",0.001,0.000628616468043754,0.106208853715387,0.553573456148269,0.568490089351646,0.583261865029027,0.416738134970973,0.426310912430001,0.573689087569999,0.0541314152949352,1692
